DetaleID,MapingID,Area,District,DateOfContract,Space,Age(years),TotalPriceOfToman
dxss_1038948670,dxss_299522617,8,نارمک غربي,1392/08/30,78.92,9,"340,000,000"
dxss_1038948670,dxss_299522617,8,نارمک غربي,1392/08/30,78.92,9,"340,000,000"
dxss_1100802460,dxss_357307941,7,مجيديه دبستان,1392/08/30,52.1,13,"166,000,000"
dxss_715819351,dxss_2136246739,14,شيوا,1392/09/01,72,0,"208,000,000"
dxss_1849967555,dxss_434225144,2,نصر گيشا,1392/09/01,54,0,"318,600,000"
dxss_2041326147,dxss_447275193,7,قصر,1392/08/30,53.68,22,"155,000,000"
dxss_329411561,dxss_439330368,17,طوس,1392/09/01,39.92,0,"70,000,000"
dxss_2107795158,dxss_1964849219,18,هفده شهريور,1392/09/01,63.85,10,"101,800,000"
dxss_218072504,dxss_497419407,12,آبشار درمار,1392/09/01,53.7,48,"120,000,000"
dxss_799521561,dxss_598562113,11,فروزش,1392/08/29,42.35,12,"122,000,000"
dxss_922171405,dxss_1406841315,17,زهتابي,1392/08/30,47,1,"93,000,000"
dxss_1544526399,dxss_310724676,4,تهرانپارس,1392/08/30,73.21,10,"223,000,000"
dxss_1235383216,dxss_266072771,5,پرواز,1392/06/22,61.32,10,"155,000,000"
dxss_1128801111,dxss_1726390505,15,مسعوديه,1392/09/01,60,0,"144,000,000"
dxss_945683370,dxss_1485093418,8,تهرانپارس,1392/09/01,46.85,2,"236,500,000"
dxss_1327873069,dxss_1451306404,5,پونک جنوبي,1392/08/21,71.47,5,"255,000,000"
dxss_1932069757,dxss_289488864,5,بهاران,1392/09/01,100.27,2,"400,000,000"
dxss_395287926,dxss_1607976708,18,وليعصر جنوبي,1392/09/01,61.23,1,"135,000,000"
dxss_438096120,dxss_1916740064,8,نارمک شرقي,1392/08/29,73.18,3,"288,000,000"
dxss_175685654,dxss_1798425375,18,شادآباد,1392/08/12,53,7,"110,000,000"
dxss_1082269234,dxss_1174732330,13,دهقان,1392/09/01,58.22,0,"201,000,000"
dxss_186929724,dxss_2027679488,4,جواديه,1392/09/01,80.34,3,"210,000,000"
dxss_976558404,dxss_218571178,10,کارون شمالي,1392/08/30,31.1,3,"105,000,000"
dxss_631808834,dxss_1765963787,5,سازمان برنامه جنوبي,1392/08/30,75,0,"330,000,000"
dxss_1635327935,dxss_2145595889,11,اسکندري,1392/09/01,46.24,13,"110,000,000"
dxss_1965404606,dxss_2132027688,4,تهرانپارس,1391/12/11,201,31,"525,000,000"
dxss_1550481971,dxss_1495340283,17,امام زاده معصوم,1392/09/01,50,1,"117,500,000"
dxss_127864971,dxss_1946310716,6,ميدان جهاد,1392/08/15,46.96,14,"174,000,000"
dxss_395287926,dxss_1607976708,18,وليعصر جنوبي,1392/09/01,61.23,1,"135,000,000"
dxss_438096120,dxss_1916740064,8,نارمک شرقي,1392/08/29,73.18,3,"288,000,000"
dxss_175685654,dxss_1798425375,18,شادآباد,1392/08/12,53,7,"110,000,000"
dxss_1082269234,dxss_1174732330,13,دهقان,1392/09/01,58.22,0,"201,000,000"
dxss_186929724,dxss_2027679488,4,جواديه,1392/09/01,80.34,3,"210,000,000"
dxss_976558404,dxss_218571178,10,کارون شمالي,1392/08/30,31.1,3,"105,000,000"
dxss_631808834,dxss_1765963787,5,سازمان برنامه جنوبي,1392/08/30,75,0,"330,000,000"
dxss_1635327935,dxss_2145595889,11,اسکندري,1392/09/01,46.24,13,"110,000,000"
dxss_1965404606,dxss_2132027688,4,تهرانپارس,1391/12/11,201,31,"525,000,000"
dxss_1550481971,dxss_1495340283,17,امام زاده معصوم,1392/09/01,50,1,"117,500,000"
dxss_1357987020,dxss_970019587,18,توليد دارو,1392/07/30,54.18,7,"73,000,000"
dxss_222788504,dxss_830991545,10,کارون جنوبي,1392/08/30,47.32,19,"106,000,000"
dxss_1007912985,dxss_683614704,4,جواديه,1392/09/01,60.29,4,"200,000,000"
dxss_345316,dxss_688243019,15,افسريه شمالي,1392/09/01,120,10,"500,000,000"
dxss_352561016,dxss_1857040648,5,جنت آباد شمالي,1392/07/01,184,22,"350,000,000"
dxss_2099053175,dxss_1049598993,15,ابوذر,1392/08/30,43.42,9,"106,000,000"
dxss_1375473141,dxss_1430405234,17,گلچين شرقي,1392/09/01,50,42,"140,000,000"
dxss_1981493251,dxss_1285985533,2,طرشت,1392/09/01,105,32,"707,000,000"
dxss_127864971,dxss_1946310716,6,ميدان جهاد,1392/08/15,46.96,14,"174,000,000"
dxss_395287926,dxss_1607976708,18,وليعصر جنوبي,1392/09/01,61.23,1,"135,000,000"
dxss_1904613762,dxss_314931404,8,نارمک شمالي,1392/09/01,133.33,0,"780,000,000"
dxss_1107689854,dxss_806757039,1,دزاشيب,1392/05/10,93.52,3,"750,000,000"
